Gene_ID,Uniprot_ID,Concentration_µM,SRC_pKapp_sign,HCK_pKapp_sign,SRC_Kapp_sign,HCK_Kapp_sign,delta_pKapp,SRC_Complexome,HCK_Complexome,delta_complexome,log_Concentration_µM,log_SRC_Complexome,log_HCK_Complexome,log_delta_complexome,ratio_log_intra
CLIC4,Q9Y696,3.84253840692956,,,,,,,,,0.5846182170525154,,,,
PSMA6,P60900,3.80518306521314,,,,,,,,,0.580375555272009,,,,
DUT,P33316,3.78820624146921,,,,,,,,,0.5784336152873484,,,,
TUBB3,Q13509,3.75716813689784,,,,,,,,,0.5748606305952008,,,,
RCN1,Q15293,3.73383709738952,,,,,,,,,0.5721553663050485,,,,
PSMA3,P25788,3.71875898561485,,,,,,,,,0.570398032457023,,,,
TUBB2A,Q13885,3.71068235467592,,,,,,,,,0.5694537790548424,,,,
SRSF1,Q07955,3.70555086705948,,,,,,,,,0.5688527793168903,,,,
SH3BGRL,O75368,3.65218750030641,,,,,,,,,0.5625530657565958,,,,
SPTBN1,Q01082,3.6495596077146,,,,,,,,,0.5622404613116461,,,,
EIF6,P56537,3.64366690048912,,,,,,,,,0.5615386674525065,,,,
AK1,P00568,3.6322126856114,,,,,,,,,0.5601712708741111,,,,
PLIN3,O60664,3.62659920128702,,,,,,,,,0.5594995615667735,,,,
PEA15,Q15121,3.60457912600637,,,,,,,,,0.5568545633901036,,,,
CDC37,Q16543,3.60306719410289,,,,,,,,,0.5566723614164875,,,,
PSMA5,P28066,3.59230752413198,,,,,,,,,0.5553735079275577,,,,
FASN,P49327,3.57970760564729,,,,,,,,,0.5538475544539508,,,,
HSPB1,P04792,3.57959516512845,,,,,,,,,0.5538339128191598,,,,
SNRPF,P62306,3.56315228836995,,,,,,,,,0.5518343844013509,,,,
RPL14,P50914,3.55716607213565,,,,,,,,,0.5511041414096953,,,,
GANAB,Q14697,3.54532221227046,,,,,,,,,0.5496557116352937,,,,
SERPINH1,P50454,3.54159049973732,,,,,,,,,0.549198343984008,,,,
RPL21,P46778,3.53586658057325,,,,,,,,,0.5484958693461274,,,,
LMNB2,Q03252,3.51666907317766,,,,,,,,,0.5461315021085763,,,,
SSB,P05455,3.51078589610406,,,,,,,,,0.5454043449948859,,,,
NES,P48681,3.50778684772699,,,,,,,,,0.5450331953928422,,,,
CORO1C,Q9ULV4,3.48908308764041,,,,,,,,,0.5427113116877469,,,,
PGD,P52209,3.47100199854681,,,,,,,,,0.5404548637312223,,,,
PDCD5,O14737,3.46472162175693,,,,,,,,,0.5396683463095606,,,,
APMAP,Q9HDC9,3.45088193415175,,,,,,,,,0.5379301009247717,,,,
NUDC,Q9Y266,3.45031061668059,,,,,,,,,0.5378581945045757,,,,
SPTAN1,Q13813,3.44683374557512,,,,,,,,,0.5374203361724916,,,,
COX4I1,P13073,3.41848398170834,,,,,,,,,0.5338335492288969,,,,
TWF1,Q12792,3.41232828989727,,,,,,,,,0.5330508066784563,,,,
HNRNPAB,Q99729,3.40250534198172,,,,,,,,,0.5317988157244133,,,,
TARS1,P26639,3.39975430792087,,,,,,,,,0.5314475327570507,,,,
DARS1,P14868,3.39740865021441,,,,,,,,,0.5311477882180238,,,,
EIF2S1,P05198,3.37902346383615,,,,,,,,,0.528791207513039,,,,
AHSA1,O95433,3.37881304314696,,,,,,,,,0.5287641620099023,,,,
COX6B1,P14854,3.35812884394767,,,,,,,,,0.5260973550367019,,,,
LAP3,P28838,3.35005541340225,,,,,,,,,0.5250519907788702,,,,
CAPN2,P17655,3.3496510444364,,,,,,,,,0.5249995660310577,,,,
PRPF8,Q6P2Q9,3.34145017664197,,,,,,,,,0.5239349898736638,,,,
DDX5,P17844,3.33944886229927,,,,,,,,,0.5236747974065961,,,,
