Gene_ID,Uniprot_ID,Concentration_µM,SRC_pKapp_sign,HCK_pKapp_sign,SRC_Kapp_sign,HCK_Kapp_sign,delta_pKapp,SRC_Complexome,HCK_Complexome,delta_complexome,log_Concentration_µM,log_SRC_Complexome,log_HCK_Complexome,log_delta_complexome,ratio_log_intra
PDIA3,P27773,27.1304516054141,,,,,,,,,1.4334570229583146,,,,
ATPA,Q03265,11.52942534455,,,,,,,,,1.0618076615088867,,,,
NEDD8,P29595,3.48859945762523,,,,,,,,,0.5426511089353718,,,,
ERH,P84089,4.2259140861483,,,,,,,,,0.6259206634945743,,,,
MYH9,Q8VDD5,4.76574318013121,,,,,,,,,0.6781306350609919,,,,
CPNS1,O88456,0.652571176721012,,,,,,,,,-0.185372112386113,,,,
ANXA3,O35639,0.942196170985648,,,,,,,,,-0.0258586650342988,,,,
1433T,P68254,4.07906485221108,,,,,,,,,0.6105606101304105,,,,
FKB1A,P26883,1.68429556990366,,,,,,,,,0.22641830635273782,,,,
TCTP,P63028,7.28777421207244,,,,,,,,,0.8625949089745446,,,,
PLEC,Q9QXS1,1.83473389547263,,,,,,,,,0.26357308433293286,,,,
H2B2E,Q64524,,,,,,,,,,,,,,
HNRPU,Q8VEK3,4.72791637304897,,,,,,,,,0.674669786180185,,,,
RL18,P35980,8.14845175409297,,,,,,,,,0.9110750984910009,,,,
STIP1,Q60864,3.48482479576673,,,,,,,,,0.542180948246237,,,,
,,,,,,,,,,,,,,,
RS30,P62862,,,,,,,,,,,,,,
H2A2C,Q64523,3.88499420323756,,,,,,,,,0.5893903751308021,,,,
RL18A,P62717,7.93373493530899,,,,,,,,,0.8994776866781322,,,,
CAV1,P49817,,,,,,,,,,,,,,
FLNB,Q80X90,1.36468239875656,,,,,,,,,0.13503159019239905,,,,
RS15A,P62245,7.15746026105841,,,,,,,,,0.8547589454535441,,,,
UB2V1,Q9CZY3,,,,,,,,,,,,,,
SMD1,P62315,3.81009112140173,,,,,,,,,0.5809353623025837,,,,
