gene_id,uniprot_id,concentration_uM,pKapp
ERF3A,Q8R050,2.0294968017707,#N/A
RU2A,P57784,0.699754922104917,#N/A
SKP1,Q9WTX5,1.23997707362019,#N/A
RS24,P62849,2.18747593623277,#N/A
ERF1,Q8BWY3,2.18778096643645,#N/A
SRP14,P16254,0.527390181219955,#N/A
RSSA,P14206,15.9274871096278,#N/A
ARPC3,Q9JM76,1.05941866197825,#N/A
PRP19,Q99KP6,1.80496827852815,#N/A
SBDS,P70122,0.443478358109908,#N/A
K2C73,Q6NXH9,#N/A,#N/A
DX39B,Q9Z1N5,1.44440529482333,#N/A
PSB1,O09061,2.00332687576895,#N/A
EIF3C,Q8R1B4,1.92412265074969,#N/A
PSA4,Q9R1P0,1.46998101073829,#N/A
RUXE,P62305,0.991821309924611,#N/A
RD23B,P54728,1.73242605450306,#N/A
#N/A,#N/A,#N/A,#N/A
RUVB1,P60122,1.37578682908003,#N/A
TMOD3,Q9JHJ0,0.617501831462108,#N/A
DHSO,Q64442,0.141397250549006,#N/A
HNRL2,Q00PI9,0.297931576739646,#N/A
ATPO,Q9DB20,2.81055265597387,#N/A
