Gene_ID,Uniprot_ID,Concentration_µM,SRC_pKapp_sign,HCK_pKapp_sign
PSMA2,P25787,2.30642323599186,#N/A,#N/A
FKBP4,Q02790,2.30375558330897,#N/A,#N/A
PPP2CA,P67775,2.29653453771512,#N/A,#N/A
ASCC3,Q8N3C0,2.29269795452551,#N/A,#N/A
MARCKS,P29966,2.28650791009201,#N/A,#N/A
ARPC1B,O15143,2.27899707711323,#N/A,#N/A
CD59,P13987,2.27019161598883,#N/A,#N/A
YKT6,O15498,2.26973367654816,#N/A,#N/A
LMAN2,Q12907,2.2623333972776,#N/A,#N/A
RPN1,P04843,2.25031806146347,#N/A,#N/A
H2AZ2,Q71UI9,2.22823207886919,#N/A,#N/A
YBX1,P67809,2.21921795487845,#N/A,#N/A
CBX3,Q13185,2.2180059923733,#N/A,#N/A
PAK2,Q13177,2.21750879077266,3.97497265124263,4.50968075543386
PSMC1,P62191,2.21405938744617,#N/A,#N/A
LRPPRC,P42704,2.20830492704105,#N/A,#N/A
