Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Human,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse
SRC,SRC,SRC,SRC,SRC,SRC,SRC,SRC,HCK,HCK,HCK,HCK,HCK,HCK,HCK,HCK,SRC_minus_HCK,SRC_minus_HCK,SRC_minus_HCK,SRC_vs_HCK,SRC,SRC,SRC,SRC,SRC,SRC,SRC,SRC,HCK,HCK,HCK,HCK,HCK,HCK,HCK,HCK,SRC_minus_HCK,SRC_minus_HCK,SRC_minus_HCK,SRC_vs_HCK
gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome,log_concentration_uM,log_complexome,gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome,log_concentration_uM,log_complexome,delta_pKapp,delta_complexome,log_delta_complexome,ratio_log_complexome,gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome,log_concentration_uM,log_complexome,gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome,log_concentration_uM,log_complexome,delta_pKapp,delta_complexome,log_delta_complexome,ratio_log_complexome
LDHA,P00338,38.033477292764,,,,1.580166033537326,,LDHA,P00338,38.033477292764,,,,1.580166033537326,,,,,,LDHA,P06151,40.0920553912391,,,,1.6030583217080263,,LDHA,P06151,40.0920553912391,,,,1.6030583217080263,,,,,
PRDX1,Q06830,37.8297632814137,,,,1.5778336237168138,,PRDX1,Q06830,37.8297632814137,,,,1.5778336237168138,,,,,,PRDX1,P35700,39.4713321806966,,,,1.5962817843372932,,PRDX1,P35700,39.4713321806966,,,,1.5962817843372932,,,,,
TXN,P10599,35.4185610744148,,,,1.5492309134284377,,TXN,P10599,35.4185610744148,,,,1.5492309134284377,,,,,,THIO,P10639,21.1695381004636,,,,1.3257113822230826,,THIO,P10639,21.1695381004636,,,,1.3257113822230826,,,,,
YWHAZ,P63104,33.0661958845241,,,,1.5193842341822326,,YWHAZ,P63104,33.0661958845241,,,,1.5193842341822326,,,,,,1433Z,P63101,11.5691559247657,,,,1.063301674371904,,1433Z,P63101,11.5691559247657,,,,1.063301674371904,,,,,
CFL1,P23528,32.8970635716066,,,,1.5171571340727017,,CFL1,P23528,32.8970635716066,,,,1.5171571340727017,,,,,,COF1,P18760,39.2301308542769,,,,1.5936197567452792,,COF1,P18760,39.2301308542769,,,,1.5936197567452792,,,,,
ANXA1,P04083,29.8922517537197,,,,1.4755586312447375,,ANXA1,P04083,29.8922517537197,,,,1.4755586312447375,,,,,,ANXA1,P10107,6.11285338076655,,,,0.7862439791878387,,ANXA1,P10107,6.11285338076655,,,,0.7862439791878387,,,,,
TPI1,P60174,25.0351236935182,,,,1.3985497415020418,,TPI1,P60174,25.0351236935182,,,,1.3985497415020418,,,,,,TPIS,P17751,27.6178766805192,,,,1.441190286068059,,TPIS,P17751,27.6178766805192,,,,1.441190286068059,,,,,
NPM1,P06748,23.0768149259669,,,,1.3631758670689722,,NPM1,P06748,23.0768149259669,,,,1.3631758670689722,,,,,,NPM,Q61937,18.6642404531684,,,,1.271010320878469,,NPM,Q61937,18.6642404531684,,,,1.271010320878469,,,,,
ENO1,P06733,21.524874969611,,,,1.33294063746991,,ENO1,P06733,21.524874969611,,,,1.33294063746991,,,,,,ENOA,P17182,22.5573588990155,,,,1.3532882494456326,,ENOA,P17182,22.5573588990155,,,,1.3532882494456326,,,,,
HSP90AA1,P07900,21.2336265163791,,,,1.3270241741729842,,HSP90AA1,P07900,21.2336265163791,,,,1.3270241741729842,,,,,,HS90A,P07901,7.10967756476579,,,,0.8518499052278993,,HS90A,P07901,7.10967756476579,,,,0.8518499052278993,,,,,
