gene_id,uniprot_id,concentration_uM,pKapp,Kapp,complexome
APT,P08030,2.28777090860219,,,
PHF5A,P83870,1.11959015394769,,,
APEX1,P28352,1.39077965869585,,,
IF4A3,Q91VC3,1.41096652394738,,,
RL10,Q6ZWV3,3.46887769399866,,,
HNRPD,Q60668,1.10885610580801,,,
RL32,P62911,2.71165291029845,,,
LMNB1,P14733,1.85119936477661,,,
CLCA,O08585,2.95244970475488,,,
EIF3B,Q8JZQ9,2.54792122852595,,,
PPIL3,Q9D6L8,0.0528053124852555,,,
RS27,Q6ZWU9,2.31663849867657,,,
EXOSX,P56960,0.147794342204777,,,
DPYL2,O08553,1.88432015589301,,,
PTMS,Q9D0J8,2.23015270989495,,,
COX6C,Q9CPQ1,3.63704422915534,,,
IKIP,Q9DBZ1,,,,
1433G,P61982,4.23321424279079,,,
5MP2,Q9CQC6,2.65544126823284,,,
MGN,P61327,1.33262216992594,,,
METK2,Q3THS6,2.0004518073305,,,
PSA2,P49722,2.78914212225464,,,
FKBP4,P30416,4.05625180753719,,,
PP2AA,P63330,0.0396150968635328,,,
ASCC3,E9PZJ8,0.0290874048161113,,,
MARCS,P26645,,,,
ARC1B,Q9WV32,4.53156339124945,,,
CD59A,O55186,,,,
YKT6,Q9CQW1,0.917735341416375,,,
LMAN2,Q9DBH5,3.26188611340329,,,
RPN1,Q91YQ5,5.09257514809461,,,
H2AV,Q3THW5,1.57915898347228,,,
YBOX1,P62960,2.13402002211413,,,
CBX3,P23198,1.68019402127633,,,
PAK2,Q8CIN4,1.82478788202595,,,
PRS4,P62192,1.55035759316623,,,
LPPRC,Q6PB66,0.86190843892691,,,
EIF3F,Q9DCH4,1.49287744836426,,,
NAMPT,Q99KQ4,0.447290501347254,,,
IMA1,P52293,0.519634754868287,,,
THIL,Q8QZT1,3.37177555932845,,,
GCN1,E9PVA8,2.82866593032965,,,
CND1,Q8K2Z4,0.217952306473481,,,
RAB18,P35293,1.4777873331703,,,
PFD1,Q9CWM4,1.18832106806671,,,
CYB5B,Q9CQX2,3.57073666564464,,,
FLNC,Q8VHX6,0.0328277762852549,,,
OLA1,Q9CZ30,1.10475128268415,,,
RBM8A,Q9CWZ3,1.69365138281573,,,
ELAV1,P70372,0.975607357935215,,,
PSMD7,P26516,1.90452651525715,,,
RS15,P62843,3.29725036417389,,,
PBDC1,Q9D0B6,2.07937611114532,,,
CSK22,O54833,0.208076524124896,,,
FKBP3,Q62446,2.75113799490629,,,
SRSF2,Q62093,2.49064312079087,,,
AN32E,P97822,3.85391381738533,,,
MTPN,P62774,2.93170775366273,,,
SRSF7,Q8BL97,1.68980925753496,,,
DLRB1,P62627,0.826036651657002,,,
TBB4B,P68372,0.639754287744784,,,
EIF3H,Q91WK2,1.82654312010717,,,
ARP2,P61161,2.61630290350608,,,
ATP5H,Q9DCX2,3.89570066995055,,,
PSB6,Q60692,2.87915099161251,,,
PRS7,P46471,2.32144749141982,,,
2AAA,Q76MZ3,1.4620958319817,,,
SND1,Q78PY7,2.75627461828937,,,
HPCL1,P62748,0.52913704791614,,,
DNJA1,P63037,1.11017478816041,,,
6PGL,Q9CQ60,1.90716560475988,,,
SYK,Q99MN1,1.15694217382615,,,
TMEDA,Q9D1D4,2.17350995493511,,,
ACLY,Q91V92,0.96830238034232,,,
S10AD,P97352,0.479250009824838,,,
SYSC,P26638,2.91892316219268,,,
CD44,P15379,0.569653732356936,,,
NDUA9,Q9DC69,0.472650866858265,,,
NUDT5,Q9JKX6,1.84471220905841,,,
HG2A,P04441,0.810052245459387,,,
SORCN,Q6P069,0.722692998766434,,,
PDIA4,P08003,4.19806525136039,,,
ELOC,P83940,1.90876967665161,,,
UBE2K,P61087,1.53934023732336,,,
QCR6,P99028,2.80873162844447,,,
ARP5L,Q9D898,0.527718986501686,,,
RAGP1,P46061,1.59608130176953,,,
COX5A,P12787,1.27137036411884,,,
TM9S3,Q9ET30,0.517437100591681,,,
SARNP,Q9D1J3,2.22770091868886,,,
PSB4,P99026,2.76478772673834,,,
S10AA,P08207,1.1523720083877,,,
BASP1,Q91XV3,,,,
MYO1C,Q9WTI7,0.29682287731631,,,
,,,,,
UBC12,P61082,1.21014866361396,,,
ETFB,Q9DCW4,2.80654348210329,,,
DHX15,O35286,1.70493515423941,,,
EIF3A,P23116,1.93933677829125,,,
TF2AA,Q99PM3,,,,
BAG2,Q91YN9,0.484875037512508,,,
CAVN3,Q91VJ2,,,,
TECR,Q9CY27,0.951956912902516,,,
TIF1B,Q62318,1.78300168222677,,,
IF1AX,Q8BMJ3,0.866215761004442,,,
ERF3A,Q8R050,2.0294968017707,,,
RU2A,P57784,0.699754922104917,,,
SKP1,Q9WTX5,1.23997707362019,,,
RS24,P62849,2.18747593623277,,,
ERF1,Q8BWY3,2.18778096643645,,,
SRP14,P16254,0.527390181219955,,,
RSSA,P14206,15.9274871096278,,,
ARPC3,Q9JM76,1.05941866197825,,,
PRP19,Q99KP6,1.80496827852815,,,
SBDS,P70122,0.443478358109908,,,
K2C73,Q6NXH9,,,,
DX39B,Q9Z1N5,1.44440529482333,,,
PSB1,O09061,2.00332687576895,,,
EIF3C,Q8R1B4,1.92412265074969,,,
PSA4,Q9R1P0,1.46998101073829,,,
RUXE,P62305,0.991821309924611,,,
RD23B,P54728,1.73242605450306,,,
,,,,,
RUVB1,P60122,1.37578682908003,,,
TMOD3,Q9JHJ0,0.617501831462108,,,
DHSO,Q64442,0.141397250549006,,,
HNRL2,Q00PI9,0.297931576739646,,,
ATPO,Q9DB20,2.81055265597387,,,
PSMD4,O35226,1.6411559177462,,,
RAB14,Q91V41,1.95986939163628,,,
PRS10,P62334,1.17855697442045,,,
EHD2,Q8BH64,0.0448754744483266,,,
IF2A,Q6ZWX6,6.65936059399373,,,
ERO1A,Q8R180,0.843337508223416,,,
ADHX,P28474,1.02862062025568,,,
PDC6I,Q9WU78,0.595961024945583,,,
SGTA,Q8BJU0,0.754810024721688,,,
TRXR1,Q9JMH6,0.731138675378854,,,
G6PD1,Q00612,4.25427039476625,,,
TMM43,Q9DBS1,0.714448148269919,,,
GSHB,P51855,0.0514723978038013,,,
IF4H,Q9WUK2,1.82556818560775,,,
TTC5,Q99LG4,0.0274913113760995,,,
SYRC,Q9D0I9,1.84956068687553,,,
EIF3D,O70194,1.90484531971975,,,
PDIA6,Q922R8,6.92762347958094,,,
PA1B2,Q61206,0.837553100190025,,,
SNX3,O70492,1.2258198169581,,,
AL9A1,Q9JLJ2,2.3456298287916,,,
EHD1,Q9WVK4,0.206736703586831,,,
CPNE1,Q8C166,0.329430131265644,,,
EGFR,Q01279,,,,
ABHEB,Q8VCR7,,,,
KINH,Q61768,0.449566901096423,,,
NB5R3,Q9DCN2,2.13723819631634,,,
CDV3,Q4VAA2,2.56301937574213,,,
COPD,Q5XJY5,1.59187929871453,,,
COPA,Q8CIE6,3.95244126893824,,,
SYQ,Q8BML9,19.4051847778115,,,
AIMP1,P31230,1.76214641892679,,,
DRG1,P32233,0.504759067267508,,,
ACADV,P50544,0.362290721182379,,,
PIPNB,P53811,1.63338910060501,,,
ROA0,Q9CX86,1.31334019100263,,,
IPO7,Q9EPL8,1.34434555515561,,,
SUMO1,P63166,0.615537574712297,,,
MK14,P47811,0.524882562080863,,,
IF4E,P63073,1.12410893798222,,,
